STARID,LABEL,1th Peak,1th Peak F.A.P,2th Peak,2th Peak F.A.P,3th Peak,3th Peak F.A.P,4th Peak,4th Peak F.A.P,5th Peak,5th Peak F.A.P
NP-GJ1135,1,0.9712676626119277,4.911452511300622e-11,0.9644773399465516,2.672042095039942e-10,0.9440950879416954,9.953346835355853e-09,0.8818928340303003,3.8218557146150085e-06,0.7911573292076938,0.000346389080789441
NP-GJ1161B,1,0.3660344257967315,0.7428976664993353,0.3590872150835383,0.7751386289887596,0.3586325506610652,0.7771862886431641,0.34653729344801154,0.828455238872216,0.34553344370353284,0.8324122894063825
NP-GJ1252,1,0.8618961906426662,7.318621710487025e-10,0.8507351982427125,2.076217942905961e-09,0.8422670119290656,4.3515969951480385e-09,0.8316887878925057,1.038722303570271e-08,0.8272802773299008,1.4687399991399121e-08
NP-GJ1256,1,0.6756501654046976,0.7712013867212344,0.6587779037771964,0.8166951690412075,0.6308853856492407,0.8779818063647535,0.6287422348801714,0.8819865201680315,0.5612305837495302,0.9645985511254088
NP-GJ126,1,0.7502602885029821,1.1830910921258696e-31,0.7374527314506719,1.9790614093936503e-30,0.7313973988095536,7.147837595808212e-30,0.7182093733682422,1.062556315404916e-28,0.5746609998425204,1.204174076764047e-18
NP-GJ130,1,0.0227952309981782,1.0,0.022378221920666543,1.0,0.022273728401513253,1.0,0.021880090638920137,1.0,0.02158978460192685,1.0
NP-GJ155.1,1,0.5481909995151076,0.8619377717103763,0.5442366469201574,0.8726565890219591,0.5401096549365,0.8832606292324146,0.5048396556112669,0.9505175038558163,0.49988280572804794,0.956904176404043
NP-GJ155.3,1,0.2660411758454568,0.6188069901794777,0.254898944782101,0.7047108498567277,0.2409278408985499,0.8034053433265959,0.22752990941199386,0.8810119962842986,0.2263188951035778,0.8870034392038734
NP-GJ157B,1,0.8221607915728059,3.3530734756420923e-34,0.7731701626654063,4.8986774032668986e-29,0.7707006447105904,8.314093807231711e-29,0.7187057408199539,1.793940917642984e-24,0.7176621411320423,2.149300232377023e-24
NP-GJ16,1,0.8046666878893319,0.8102850481457871,0.8045638277821273,0.8105979122655439,0.8042799959724285,0.8114592415744444,0.8021764215763176,0.8177522453255799,0.8018908027542048,0.8185944313996533
NP-GJ182,1,0.6944177394437901,0.0005270141110371544,0.6645771277663377,0.0014363718731904376,0.5563547368765683,0.028115831418520854,0.5271435871793939,0.054453294330488934,0.4610982314639892,0.19805878572861704
NP-GJ2003,1,0.40997302146669423,0.02092163879205292,0.4091351580709513,0.021450493988738592,0.35725382459667393,0.09168212646198846,0.3482283604973428,0.115634330157603,0.3418272787713529,0.13574142499431294
NP-GJ2049,1,0.5716476422377005,7.620490790793637e-08,0.5447063934940292,3.745690327751095e-07,0.5302343858506645,8.468980647224876e-07,0.5140893934961702,2.0418845450720245e-06,0.512603375002555,2.2107895750081845e-06
NP-GJ2066,1,0.3437493378920207,1.0109673173277662e-07,0.3225763446650479,5.527623313446368e-07,0.3224448733303252,5.585257150549328e-07,0.31640738416825404,8.972588894025046e-07,0.3146512397861512,1.0290546001038146e-06
NP-GJ2121,1,0.7987253525526442,2.1036290941929801e-07,0.7939676604818465,2.808846198340693e-07,0.7704173118443811,1.0707045513758656e-06,0.7109559178387285,1.8317720450833937e-05,0.6802724094456014,6.326410605687167e-05
NP-GJ218,1,0.7587669520996408,0.008964922628599352,0.7448797158033049,0.012758344641402044,0.738384383187521,0.014942550841962703,0.7330238959227441,0.016970187493842853,0.7285170948041352,0.018845942262568336
NP-GJ234A,1,0.6298522584367702,0.29484531060034264,0.6190578545191032,0.33350490455268283,0.5953322349924209,0.4258817443256442,0.5665090785846674,0.5464762088902998,0.5603856188942266,0.5724087854055281
NP-GJ238,1,0.8666253190363349,0.011454255638523087,0.8655685002860249,0.011767508971970408,0.8654562946906094,0.011801113636887043,0.8645054010237505,0.01208858003455685,0.8619670764159894,0.012879703909132036
NP-GJ298,1,0.2986279775127021,0.017308715654282703,0.2592958821930937,0.07416351657370615,0.2299288093059013,0.197328327338132,0.2182925283380304,0.2799426082833419,0.1946036656510121,0.5162787857311486
NP-GJ3009,1,0.8661277308413557,0.02287662763402776,0.8613463070025593,0.0257641972948857,0.8606353559733657,0.02621379648569197,0.8592019830121517,0.02713648865953304,0.8577041575815831,0.028124092801175272
NP-GJ3110,1,0.999990825891636,1.502921602924846e-19,0.9998791938636282,4.520386474244338e-15,0.999869563582506,6.14358311397385e-15,0.9998099152847582,2.7710894565124282e-14,0.9997787756908484,5.0840360486264186e-14
NP-GJ3141,1,0.8773059635365014,0.018740446667044518,0.8743747498695991,0.02030790143258916,0.8630145648903788,0.02723647988999952,0.8173320507693195,0.07110469092671623,0.8147463900622041,0.07444901368081341
