STARID,LABEL,1th Peak,1th Peak F.A.P,2th Peak,2th Peak F.A.P,3th Peak,3th Peak F.A.P,4th Peak,4th Peak F.A.P,5th Peak,5th Peak F.A.P,6th Peak,6th Peak F.A.P,7th Peak,7th Peak F.A.P,8th Peak,8th Peak F.A.P,9th Peak,9th Peak F.A.P,10th Peak,10th Peak F.A.P,11th Peak,11th Peak F.A.P,12th Peak,12th Peak F.A.P,13th Peak,13th Peak F.A.P,14th Peak,14th Peak F.A.P,15th Peak,15th Peak F.A.P,16th Peak,16th Peak F.A.P,17th Peak,17th Peak F.A.P,18th Peak,18th Peak F.A.P,19th Peak,19th Peak F.A.P,20th Peak,20th Peak F.A.P
NP-G267-158,1,0.550843763828229,1.3288292810708501e-05,0.5159905778240591,6.179154590316702e-05,0.5072431902937229,8.924549892710263e-05,0.5020540195569455,0.00011063761785656123,0.4826053425785182,0.00024253641811719816,0.4522653341527017,0.0007768812912915202,0.4353034618600371,0.0014457670233253134,0.4340325333203513,0.0015134060373813258,0.4274748607609315,0.001912698143948566,0.42037575307160496,0.002456427486812333,0.4164375527692437,0.0028180558676974945,0.4162153297783313,0.002839892754669016,0.41273386075928425,0.003203589823249621,0.40671932318352605,0.003937654656973445,0.39986800253446014,0.0049666492318094745,0.3967484843782052,0.005514896541755977,0.3939837478377977,0.006048032130204765,0.3937167468471031,0.006102014886538954,0.38971083764981107,0.006968477629460402,0.38526123831182535,0.008066265536696633
NP-GJ1001,1,0.5632210010320731,0.005827778707989787,0.5430756877402266,0.010035076812438442,0.5212393125003928,0.017557287737922495,0.4771966622809293,0.049661484943230284,0.4709168678690222,0.05705654034198127,0.4616804999261142,0.06967829712068895,0.4392683749844664,0.11070770822203108,0.3912249604168574,0.26622617996385,0.3827942482591821,0.3048812771438097,0.37130642823983295,0.3630668407636449,0.3139370512687007,0.7096073559641902,0.31098003608346103,0.7271173331070228,0.30799477441463324,0.7444385943222646,0.3027288479026207,0.7739814124484505,0.29474040130947743,0.8158773076139412,0.2920538853600475,0.8290672008231781,0.28879331891993554,0.8444122694988282,0.2801423320645151,0.8813692795134114,0.27865281554669274,0.8871584030907144,0.26919492639505505,0.9198660362201778
NP-GJ1012,1,0.4747779568187735,0.98227817426992,0.4528860637637789,0.9884247466850864,0.3948035649163503,0.9965205839700422,0.3378489365077265,0.9989910183807024,0.3338721581413185,0.9990749914758746,0.31190343190271924,0.9994261950581926,0.29932606965114683,0.9995619607322156,0.2961119481784422,0.999590926184424,0.2909808166259077,0.9996330372559716,0.2905084515457673,0.9996366749331701,0.2898677508413497,0.9996415475192176,0.28553613633713865,0.9996727076522952,0.2797605432288233,0.9997097949735676,0.2797144362253665,0.9997100720501764,0.27586086463188986,0.9997322412185494,0.26516777601616104,0.999784569659058,0.2621384735455136,0.9997972439251229,0.26003472711918585,0.9998055511228132,0.2548429541231337,0.99982444700151,0.2547704359245128,0.9998246956386004
NP-GJ1031,1,0.3348610017952829,0.2884862614244569,0.3321608102008047,0.3040147542086906,0.2589164253085903,0.8318274764831265,0.2551479966067007,0.8540215116691475,0.2407453257008282,0.9230206165785068,0.2404645339414376,0.9241055888115768,0.23803921307744536,0.933063048347382,0.2337289242283841,0.9471821336435888,0.21861811770546166,0.9802824327485952,0.21372298132296044,0.9864810097994152,0.21314264640433564,0.9870994448396688,0.21064618503461652,0.9895079437396372,0.209551212015041,0.9904431989690856,0.20730398143453407,0.9921517549778172,0.2058896053282814,0.9930928615494332,0.1959189403076889,0.9974291924666556,0.19581750590139807,0.9974570278880991,0.19064475231775693,0.9985746154089143,0.188756288820034,0.9988598619454904,0.18522277765239212,0.9992625787374656
NP-GJ1032,1,0.7361448929871157,0.22956667086205185,0.7259871951843088,0.2601575120720985,0.7258127506971632,0.2606996621898884,0.7227402731725943,0.2703381766399547,0.7171615023825002,0.28826108034149045,0.7145208285621406,0.29692734394949954,0.7144975015557768,0.2970044061604011,0.7131549072558375,0.3014544641862675,0.7063812475711705,0.324331677105828,0.7052913584890762,0.3280762046975968,0.7036907290162204,0.3336059009380893,0.7036731893692422,0.3336666926894057,0.6957902027019528,0.3613985335275989,0.6935191598497289,0.3695298522030109,0.6926745631259075,0.3725688252324652,0.6899063491198525,0.38258341824943604,0.6875943442165074,0.3910080336716975,0.6844684628362321,0.40247926731995975,0.6819161717579085,0.4119090476388909,0.6818959708959301,0.4119838956392205
NP-GJ103,1,0.6772615929811454,0.4685732579874658,0.6628988435230941,0.5175315123530407,0.6612070633425058,0.5232805284679818,0.6562600884897332,0.540043032372043,0.6480698927151208,0.5675755988815777,0.6422422400389157,0.5869414821280904,0.6405342880489954,0.5925743900951755,0.6378767140373794,0.6012964187452924,0.6370879940066139,0.6038744478766825,0.6290674739383753,0.6297896996100915,0.6280927928360425,0.6328988381314731,0.6219259322373363,0.6523474046653314,0.6199585302390709,0.6584665131543821,0.6171605218812585,0.6670934469101372,0.6031834859070205,0.7087395924469605,0.5982772028950845,0.722736085505894,0.5959565485512557,0.7292357501206304,0.5862254616259399,0.7556090169358558,0.5846543046517378,0.7597295918830774,0.5689335789713267,0.7987522927662367
NP-GJ1046,1,0.9746426737380264,1.2175343559295366e-16,0.9722972914813142,3.3634553710656533e-16,0.9606285798738364,1.9045536817415225e-14,0.8671036460370714,2.156076212063625e-08,0.8605936387066644,3.7230113899908485e-08,0.8566428576904567,5.122453875748178e-08,0.8458103403718772,1.1764015216171989e-07,0.8456429291690105,1.1910574974735994e-07,0.8333585681275588,2.8525649936746895e-07,0.8320578174150627,3.116971704469807e-07,0.8210832484488823,6.412478753120958e-07,0.8050102558757087,1.7077378326974154e-06,0.7814439428281316,6.2497563674784225e-06,0.7746404004525295,8.852828959092275e-06,0.7693915370075085,1.1497630153927715e-05,0.7626784337465196,1.5923302695828556e-05,0.7610410064710837,1.721516186669227e-05,0.7510925998201701,2.733955603578634e-05,0.7450073032626776,3.594777093315744e-05,0.7332993276207097,5.9767289011463706e-05
NP-GJ1057,1,0.4211787635927484,0.9956831934134056,0.4033186066386679,0.9968499645566136,0.3803882744843206,0.9978962762149058,0.3802388006922576,0.997901784460454,0.3368633567836073,0.9990077116976354,0.3265173794822757,0.9991656433873854,0.30550415342989434,0.999407737453572,0.30506285839169034,0.9994118930846341,0.3050128353507179,0.9994123620420864,0.2916319892377653,0.9995236451448491,0.2688192290173767,0.9996608449410456,0.2685043485278502,0.9996623694698744,0.2601160675706222,0.9996999381204078,0.2482488772597062,0.9997442114890976,0.2457892263671442,0.9997522528990104,0.24353325123844666,0.9997593182618554,0.2404994933765758,0.9997683724102318,0.2313159840869749,0.9997929040837265,0.2301394882948261,0.9997957576097192,0.2282625208889413,0.9998001833419196
NP-GJ1068,1,0.5016205657964948,0.5669530175112739,0.4991914519191667,0.5784481280412804,0.4727149377321255,0.7006173292767859,0.4701671711215683,0.7117996256360162,0.4687478987585912,0.7179657260404417,0.4461325551937663,0.8086787761434193,0.43617154271514796,0.843206840908254,0.4158365542019635,0.9016396451165809,0.41564327949200464,0.9021149205610158,0.4140588283873316,0.9059543610000312,0.4126808693381683,0.9092112692699088,0.4105783780904744,0.9140340749340516,0.4072984425765699,0.9212069469715004,0.40407806207315206,0.9278388994199476,0.3935124324490691,0.9468385749174282,0.3933100286043297,0.9471627352528292,0.3874654004885545,0.9559108771442142,0.3865412580627561,0.9571884959694222,0.3808954884587057,0.9643982704772108,0.3796435513155568,0.9658631610471357
NP-GJ1100,1,0.5271068465524924,0.006762641130136876,0.5004373768031031,0.014543661096006029,0.44824512423269147,0.05690342921206641,0.4405014001662492,0.06861998872738047,0.4337632508846658,0.08049218256566461,0.4271819410418168,0.09377895492836087,0.4218190948404796,0.10596613705930223,0.4181395083256284,0.11509007392021595,0.406871750577178,0.14725208816172733,0.400721344322536,0.16772737304453705,0.3993283208671802,0.17267066995429126,0.39861992827458864,0.1752289122476099,0.3834067388494191,0.2377195439646719,0.3820122229675323,0.24419444643857044,0.3800754316708708,0.2534003849852152,0.37974178021655897,0.2550113847369577,0.3791080925757502,0.2580914084184828,0.3771899776015227,0.26757684176186125,0.3739268002308902,0.28427517074148706,0.3718020365481615,0.29552711198591464
NP-GJ1135,1,0.9712676626119277,4.911452511300622e-11,0.9644773399465516,2.672042095039942e-10,0.9440950879416954,9.953346835355853e-09,0.8818928340303003,3.8218557146150085e-06,0.7911573292076938,0.000346389080789441,0.7807469882087976,0.000507842025087607,0.7783133690061964,0.0005538694344808914,0.7676920322287699,0.0007998953975829956,0.7655967492471567,0.0008582943641280132,0.7129889444211069,0.004180822733333229,0.7014992610690811,0.005673547855447891,0.6712014143887935,0.011993694377665929,0.6253595361819329,0.032569804747349634,0.6061809955134589,0.04745609788055643,0.5609111047696055,0.10574811443882308,0.4884213405508041,0.2985291125915945,0.4810667881496759,0.32599644124604155,0.4715953509326377,0.3633381287675301,0.4689854673767157,0.3739920243418571,0.4616639116470329,0.4046478070259475
NP-GJ1161B,1,0.3660344257967315,0.7428976664993353,0.3590872150835383,0.7751386289887596,0.3586325506610652,0.7771862886431641,0.34653729344801154,0.828455238872216,0.34553344370353284,0.8324122894063825,0.3300523096629984,0.8870269471980959,0.32134048946982435,0.9122315329557312,0.3157473544881586,0.9262944287057576,0.2983415368083954,0.9600136230514408,0.2969333155106626,0.9621255416819936,0.2911821793388675,0.9698918367575124,0.2902030181801076,0.9710826480242022,0.28925843087695224,0.9721967762373616,0.2883179215555485,0.9732729001618666,0.2881086336742384,0.9735079202879564,0.2832932015725297,0.9784857572578,0.27982143279177457,0.9815933879031596,0.2786613262133219,0.9825481336977822,0.2765742176615216,0.9841657923779036,0.2686174473879878,0.9892613796216769
NP-GJ1252,1,0.8618961906426662,7.318621710487025e-10,0.8507351982427125,2.076217942905961e-09,0.8422670119290656,4.3515969951480385e-09,0.8316887878925057,1.038722303570271e-08,0.8272802773299008,1.4687399991399121e-08,0.8188973889076179,2.7708882827677214e-08,0.8105588670842719,5.062134398704157e-08,0.808379932894301,5.899352412120328e-08,0.8055879346900614,7.159275380252702e-08,0.8008551719918449,9.876844164955268e-08,0.7993852275512633,1.0897822760737939e-07,0.7987992590833585,1.1331352366687319e-07,0.7962190339953897,1.3436749522065216e-07,0.7875576020542896,2.3441463455405086e-07,0.7862976385799382,2.536935370388845e-07,0.7831008827296947,3.0937538743751785e-07,0.7814804124994795,3.417269971402361e-07,0.7807442031221841,3.57433941971904e-07,0.7781760940529298,4.175983772448366e-07,0.7716030463496746,6.167896001337003e-07
