STARID,LABEL,1th Peak,1th Peak F.A.P,2th Peak,2th Peak F.A.P,3th Peak,3th Peak F.A.P,4th Peak,4th Peak F.A.P,5th Peak,5th Peak F.A.P,6th Peak,6th Peak F.A.P,7th Peak,7th Peak F.A.P,8th Peak,8th Peak F.A.P,9th Peak,9th Peak F.A.P,10th Peak,10th Peak F.A.P,11th Peak,11th Peak F.A.P,12th Peak,12th Peak F.A.P,13th Peak,13th Peak F.A.P,14th Peak,14th Peak F.A.P,15th Peak,15th Peak F.A.P,16th Peak,16th Peak F.A.P,17th Peak,17th Peak F.A.P,18th Peak,18th Peak F.A.P,19th Peak,19th Peak F.A.P,20th Peak,20th Peak F.A.P,21th Peak,21th Peak F.A.P,22th Peak,22th Peak F.A.P,23th Peak,23th Peak F.A.P,24th Peak,24th Peak F.A.P,25th Peak,25th Peak F.A.P,26th Peak,26th Peak F.A.P,27th Peak,27th Peak F.A.P,28th Peak,28th Peak F.A.P,29th Peak,29th Peak F.A.P,30th Peak,30th Peak F.A.P
NP-GJ1135,1,0.9712676626119277,4.911452511300622e-11,0.9644773399465516,2.672042095039942e-10,0.9440950879416954,9.953346835355853e-09,0.8818928340303003,3.8218557146150085e-06,0.7911573292076938,0.000346389080789441,0.7807469882087976,0.000507842025087607,0.7783133690061964,0.0005538694344808914,0.7676920322287699,0.0007998953975829956,0.7655967492471567,0.0008582943641280132,0.7129889444211069,0.004180822733333229,0.7014992610690811,0.005673547855447891,0.6712014143887935,0.011993694377665929,0.6253595361819329,0.032569804747349634,0.6061809955134589,0.04745609788055643,0.5609111047696055,0.10574811443882308,0.4884213405508041,0.2985291125915945,0.4810667881496759,0.32599644124604155,0.4715953509326377,0.3633381287675301,0.4689854673767157,0.3739920243418571,0.4616639116470329,0.4046478070259475,0.4578235643436198,0.4211452295050657,0.456735376915539,0.4258678551049077,0.4500240656458909,0.4554185284640034,0.4472753934974065,0.467710778836158,0.4373441051005953,0.5128360793490379,0.43667858170307294,0.5158913706234179,0.4300798197192581,0.5463182119378476,0.4216574997819766,0.5853003148663077,0.4195905965233385,0.5948524532902961,0.41828706807755306,0.6008680746548171
NP-GJ1161B,1,0.3660344257967315,0.7428976664993353,0.3590872150835383,0.7751386289887596,0.3586325506610652,0.7771862886431641,0.34653729344801154,0.828455238872216,0.34553344370353284,0.8324122894063825,0.3300523096629984,0.8870269471980959,0.32134048946982435,0.9122315329557312,0.3157473544881586,0.9262944287057576,0.2983415368083954,0.9600136230514408,0.2969333155106626,0.9621255416819936,0.2911821793388675,0.9698918367575124,0.2902030181801076,0.9710826480242022,0.28925843087695224,0.9721967762373616,0.2883179215555485,0.9732729001618666,0.2881086336742384,0.9735079202879564,0.2832932015725297,0.9784857572578,0.27982143279177457,0.9815933879031596,0.2786613262133219,0.9825481336977822,0.2765742176615216,0.9841657923779036,0.2686174473879878,0.9892613796216769,0.2678926923453309,0.9896491423253804,0.26339610464099994,0.9918050846870768,0.2619412040073896,0.9924167855606756,0.2590627688314279,0.9935148361618334,0.2569654761532261,0.9942277665970494,0.2540447008623013,0.9951093025469424,0.2534534523498429,0.9952730442844128,0.2518720022795775,0.9956882167223596,0.2511125963715449,0.9958762282832306,0.25065494374764663,0.9959861050895444
NP-GJ1252,1,0.8618961906426662,7.318621710487025e-10,0.8507351982427125,2.076217942905961e-09,0.8422670119290656,4.3515969951480385e-09,0.8316887878925057,1.038722303570271e-08,0.8272802773299008,1.4687399991399121e-08,0.8188973889076179,2.7708882827677214e-08,0.8105588670842719,5.062134398704157e-08,0.808379932894301,5.899352412120328e-08,0.8055879346900614,7.159275380252702e-08,0.8008551719918449,9.876844164955268e-08,0.7993852275512633,1.0897822760737939e-07,0.7987992590833585,1.1331352366687319e-07,0.7962190339953897,1.3436749522065216e-07,0.7875576020542896,2.3441463455405086e-07,0.7862976385799382,2.536935370388845e-07,0.7831008827296947,3.0937538743751785e-07,0.7814804124994795,3.417269971402361e-07,0.7807442031221841,3.57433941971904e-07,0.7781760940529298,4.175983772448366e-07,0.7716030463496746,6.167896001337003e-07,0.771290861093777,6.281425020970588e-07,0.767081375594873,8.013237659696757e-07,0.7662962623035241,8.381403706970627e-07,0.7643398444805501,9.367905698213369e-07,0.7642737977483652,9.403008443806326e-07,0.7639962411862119,9.551857801880384e-07,0.7626442494342935,1.0308544969854346e-06,0.7617340604783897,1.0848750701924685e-06,0.7586580745514917,1.2873997324682208e-06,0.7579922359772394,1.3356025346765382e-06
NP-GJ1256,1,0.6756501654046976,0.7712013867212344,0.6587779037771964,0.8166951690412075,0.6308853856492407,0.8779818063647535,0.6287422348801714,0.8819865201680315,0.5612305837495302,0.9645985511254088,0.5585347367824409,0.9664641296097242,0.5368291514722551,0.9786644704437258,0.5260160015691234,0.9831483453538232,0.514184880951214,0.987083931238514,0.5122522481905104,0.9876425125645116,0.5097085201898461,0.9883448091582512,0.4942688057611549,0.9918913227855062,0.4929642269173691,0.992140777325894,0.490390808314906,0.992612525272034,0.4898688150019802,0.9927050134550036,0.4893660861155757,0.9927930906211476,0.4892428527505595,0.9928145325670056,0.4853507145190129,0.9934625444633756,0.4842770483459325,0.9936316597811712,0.4737925384330716,0.9950847193984164,0.4710041129733651,0.9954160713578438,0.4659821837452693,0.9959613005629736,0.4443573700341839,0.9976892240914182,0.44055839949294906,0.997909409436838,0.4254810328704071,0.9986026603798028,0.4028023905547393,0.9992485746664044,0.4011897773000573,0.999281404422338,0.3977875980658533,0.999346176454045,0.3970526992786355,0.9993594056697184,0.3789272793696635,0.9996144505190138
NP-GJ126,1,0.7502602885029821,1.1830910921258696e-31,0.7374527314506719,1.9790614093936503e-30,0.7313973988095536,7.147837595808212e-30,0.7182093733682422,1.062556315404916e-28,0.5746609998425204,1.204174076764047e-18,0.379905276558127,1.7429357847777944e-09,0.3765416106729001,2.3555703038122435e-09,0.25229696304347016,5.550516558538125e-05,0.23710130076636335,0.00016769594938282383,0.2359975227174706,0.0001815448030550066,0.2321549937684468,0.00023906404511700352,0.1824431281225774,0.007312121362749982,0.15341588897286687,0.047175772186703865,0.14657644105421502,0.07172400920849475,0.13297032436111356,0.1590913659495567,0.13042324430109467,0.18334823709404416,0.12978855127279648,0.18986416935997102,0.12378628800346375,0.26156840511812296,0.12195325724204435,0.28730282705200216,0.12122763116302653,0.29800304554129,0.1211260373153224,0.2995244672757097,0.12038020551370728,0.3108689388833145,0.11609204165458807,0.3820038951765121,0.11578271114347607,0.3875139430274445,0.11564692876336187,0.3899480712126651,0.11504976824620608,0.4007637549842161,0.11189031588644777,0.4608100432779601,0.1094887951832558,0.5092171056136768,0.10897780939066117,0.5197680686516369,0.10781495211768838,0.5440455858055938
NP-GJ130,1,0.0227952309981782,1.0,0.022378221920666543,1.0,0.022273728401513253,1.0,0.021880090638920137,1.0,0.02158978460192685,1.0,0.02121566985244569,1.0,0.020480976530598088,1.0,0.019929738717716833,1.0,0.019628037793184564,1.0,0.019565547791062204,1.0,0.019381766308309626,1.0,0.01936976982756309,1.0,0.019249373745603288,1.0,0.019170349960154317,1.0,0.018968425169551054,1.0,0.018889613957304846,1.0,0.018115193514219582,1.0,0.01792568216740351,1.0,0.01785259801071131,1.0,0.01779736895727204,1.0,0.01778246879371619,1.0,0.01774229845277197,1.0,0.017648987560181444,1.0,0.01754869236424976,1.0,0.017362141778599217,1.0,0.017353557206611008,1.0,0.017281231868245667,1.0,0.017270989231931773,1.0,0.01724308226265221,1.0,0.0170594823386536,1.0
NP-GJ155.1,1,0.5481909995151076,0.8619377717103763,0.5442366469201574,0.8726565890219591,0.5401096549365,0.8832606292324146,0.5048396556112669,0.9505175038558163,0.49988280572804794,0.956904176404043,0.4959712226551415,0.9614812266066464,0.4935647115778184,0.96410371267486,0.486745714996568,0.9707812278720684,0.4867084462765557,0.9708147992080052,0.4812504953555665,0.9754094956208436,0.4704134735665804,0.982804936915306,0.4666364351210704,0.9849056181943352,0.4609279736154722,0.9876732061455332,0.4606073550793232,0.9878151090809224,0.454669737788768,0.9902053122706564,0.4543692908290083,0.9903148690634171,0.4538361970007484,0.9905067035065559,0.4504304699618411,0.9916577254846408,0.4491095918424528,0.9920709406017748,0.4426045739825495,0.9938600791631916,0.4396119990321764,0.994558512793529,0.4334824402484031,0.9957771662281464,0.4313192526138139,0.9961463408620111,0.4258841151865442,0.9969519203139896,0.42544684764842694,0.9970097586552016,0.42453465360743203,0.9971273099918748,0.4245122291922473,0.9971301476373048,0.4242726936263691,0.9971603050622231,0.4241422944657013,0.99717660433942,0.423533087637464,0.9972516625578888
NP-GJ155.3,1,0.2660411758454568,0.6188069901794777,0.254898944782101,0.7047108498567277,0.2409278408985499,0.8034053433265959,0.22752990941199386,0.8810119962842986,0.2263188951035778,0.8870034392038734,0.22520244485026475,0.8923670874486812,0.21013945791860406,0.9496003783123602,0.20781531004801307,0.9559974191972856,0.19831121322475426,0.9761907672787504,0.192295258338818,0.9846991130805552,0.18971898814596144,0.9875114038702302,0.18918057486256185,0.9880433575441622,0.18827438319629472,0.9888975825616384,0.18216890406746625,0.9934554467062088,0.18209487524228055,0.9934993382565822,0.1798162822796994,0.9947360253707294,0.17980346457192126,0.9947423834867162,0.17914978850861088,0.9950582531406796,0.17901262800468867,0.995122478345229,0.17753676654318976,0.9957704892239718,0.17667436284274068,0.9961144843226408,0.1752213368778779,0.9966407030443688,0.17453772773273324,0.9968665782915735,0.17447322786542238,0.9968872079052672,0.17291348465115322,0.997352091644859,0.17242146192082092,0.9974858467804691,0.17207781620877666,0.9975758016633598,0.16958589721261008,0.9981494222874148,0.16875657431917088,0.9983123318904776,0.1662949422450993,0.998725017250263
NP-GJ157B,1,0.8221607915728059,3.3530734756420923e-34,0.7731701626654063,4.8986774032668986e-29,0.7707006447105904,8.314093807231711e-29,0.7187057408199539,1.793940917642984e-24,0.7176621411320423,2.149300232377023e-24,0.7130671525112863,4.7255263637498395e-24,0.6819472160596349,7.177914055282966e-22,0.66461001944006,9.547844428493463e-21,0.6252706457403573,2.1226732949498e-18,0.621362675572539,3.518056093842631e-18,0.6203295721171951,4.0172225105523276e-18,0.5831978325488878,3.7685341502945264e-16,0.5644256676677731,3.2103918506907e-15,0.5558927389840249,8.243421340011868e-15,0.517770259666146,4.5002351715508587e-13,0.509584304576852,1.0185589176870681e-12,0.505117335060955,1.5813654632450803e-12,0.4919581382475182,5.646396019496048e-12,0.4915987748690552,5.8433271052295245e-12,0.48221032334436403,1.4186336238736348e-11,0.4818989509512484,1.4605729245032894e-11,0.4818935683690357,1.4613084815843345e-11,0.4761509530501042,2.492945229135339e-11,0.4756850624339888,2.6026629593922797e-11,0.4748009574377454,2.8240176551597426e-11,0.4675677176697806,5.477966073583092e-11,0.4584812377672625,1.2429947463933572e-10,0.4562332332014473,1.519013030531841e-10,0.4541721873691419,1.82425798645612e-10,0.4495073019178169,2.753884383528741e-10
NP-GJ16,1,0.8046666878893319,0.8102850481457871,0.8045638277821273,0.8105979122655439,0.8042799959724285,0.8114592415744444,0.8021764215763176,0.8177522453255799,0.8018908027542048,0.8185944313996533,0.8016279387473412,0.8193669405889781,0.7973939453782481,0.8314715431738711,0.7959871371475123,0.8353538434928618,0.7948067341235159,0.8385582502890421,0.7925784125990634,0.8444765586269064,0.7920911766903316,0.8457480134526866,0.7886957526849461,0.854385930223461,0.7866444514429809,0.8594182499831556,0.7861024103241314,0.8607248984148157,0.7845231760495454,0.8644772936028791,0.7820257312988486,0.8702476116568955,0.7802069227491659,0.8743255086128598,0.7797125731666437,0.8754159766267355,0.7776577805231821,0.879867547224826,0.7758626260928534,0.8836510059940023,0.7731338506152579,0.8892170189188997,0.7726602942670734,0.8901605437753324,0.7715813539832721,0.8922858143281834,0.768731677884983,0.8977379306929724,0.7674345863038041,0.9001434446896849,0.7665245323687481,0.9018032102597668,0.765547069675629,0.9035604938896604,0.7651049197973373,0.9043468093978388,0.7634782560630837,0.9071941128819268,0.7620247044443843,0.9096785388055774
