Number of Peaks,F1 score,Precision,Accuracy,Recall,F1 score STD,Precision STD,Accuracy STD,Recall STD
5.0,0.9141041179522935,0.9146566048292637,0.9144,0.9147621937165444,0.020691846844205834,0.020226474045064783,0.020567936211491923,0.02110648940176669
10.0,0.918177830703843,0.9194880886216593,0.9184000000000001,0.9185268416999062,0.015910408821406156,0.01602467411547374,0.015919798993705908,0.015764317321387177
15.0,0.9317985057658879,0.9329517275278036,0.932,0.9319026719474536,0.013939477725244774,0.014040774011696318,0.013971399357258352,0.013377616768312634
20.0,0.9903890221662559,0.990820266228382,0.9904,0.9903589239547397,0.010631578870799763,0.009942742350191804,0.010613199329137289,0.010728041654429294
25.0,0.9750973113824017,0.9768072099668335,0.9751999999999998,0.9748942930096112,0.02136031104842076,0.019352338255858612,0.02130164312911095,0.021125024375978366
30.0,0.987161715880242,0.9876106531106086,0.9872,0.9870924941135953,0.008942057788593765,0.00855414986994256,0.008908422980528043,0.009060493927368306
35.0,0.9863410988083009,0.9861393694877822,0.9864,0.9870379309822948,0.008069234229999377,0.008253942746635446,0.008039900496896719,0.007531370623033904
40.0,0.998389694041868,0.9985294117647058,0.9984,0.9982758620689655,0.0032206119162641045,0.002941176470588225,0.0032000000000000028,0.0034482758620689503
45.0,0.9959903320681336,0.9959336990187753,0.9960000000000001,0.9961109152285623,0.004009687083117883,0.004074054481803728,0.0040000000000000036,0.0038963090675770426
50.0,0.9967896087837973,0.9966648127549128,0.9968,0.9969909185689201,0.00532359851552259,0.005530784290731964,0.005306599664568644,0.004973147421953927
60.0,0.9935708448730786,0.9936448996162154,0.9936,0.9936742236140278,0.006982432596043494,0.006771821014404616,0.006974238309665084,0.006928706172981331
70.0,0.9967876417328858,0.9968386095463566,0.9968,0.9967880535835023,0.003934342670891395,0.0038841557810370257,0.003919183588453088,0.003945828644852143
80.0,0.9935591181481189,0.9937763892131803,0.9936,0.9934965183596004,0.006031000827709944,0.0059431734464565015,0.005986651818838311,0.006020414083417332
90.0,0.9967855221501963,0.9968103934311957,0.9968,0.9968121329145448,0.003936994533179587,0.003922778757467379,0.003919183588453088,0.003917097729793785
95.0,0.9991991799602793,0.9991803278688524,0.9992000000000001,0.9992307692307693,0.00240246011916202,0.0024590163934426258,0.0024000000000000024,0.0023076923076922997
100.0,0.993563252384283,0.9941514041514041,0.9936,0.9933271532656779,0.011832703541790824,0.010519646543977417,0.011757550765359266,0.012250453305706404
