Number of intervals,F1 score,Precision,Accuracy,Recall,F1 score STD,Precision STD,Accuracy STD,Recall STD
2500.0,0.7967105839999766,0.8589416749370533,0.804,0.8071204265263194,0.04420120109738126,0.027163430663533338,0.042969756806386504,0.03409870900495413
3000.0,0.7827954033496265,0.8499843286669699,0.7904,0.7960117123020348,0.03068740437145777,0.017356001463489774,0.029241067011995296,0.024178432876862284
3500.0,0.7765759552741512,0.8111793094713103,0.7807999999999999,0.7845713066740114,0.03319127324552518,0.036133720808282845,0.031637951893256314,0.028745475832496807
4000.0,0.7466492828467624,0.7686714721998189,0.7495999999999999,0.7538027709552265,0.03325034282360669,0.03533772913918601,0.033380233672040106,0.02835984796977401
5000.0,0.7702843362765746,0.8385351691195833,0.7807999999999999,0.7812011308040296,0.032568982410955884,0.026804723434698977,0.030188739622581114,0.02858250082447404
7000.0,0.776580032647878,0.8097934168891602,0.78,0.7863687835073552,0.028662937766154993,0.035826041617582106,0.028899826989101506,0.025698966483661028
10000.0,0.7667274198459033,0.7699929992317462,0.7672,0.7711581026479555,0.039219213726431126,0.0383021824872242,0.039427908897125136,0.03829429275291814
20000.0,0.8092584924954792,0.8165724716281704,0.8096,0.8161861913378197,0.018056519707265045,0.01697086562607824,0.018172506706560846,0.01582300909605649
30000.0,0.7902601670548813,0.7995417379549989,0.7912,0.7934501654556485,0.030829910232994508,0.03183453839289252,0.03087005021051958,0.029914714248755
