Number of intervals,F1 score,Precision,Accuracy,Recall,F1 score STD,Precision STD,Accuracy STD,Recall STD
2500.0,0.7390523625201096,0.7426953039489165,0.7407999999999999,0.742728316328104,0.028133646411918945,0.02269983832346338,0.027758962516635982,0.027949335164283596
3000.0,0.7581920369500565,0.7609167539948821,0.7592,0.7589067224742496,0.032746636840396644,0.03479558770647403,0.03326499661806688,0.03225636883921349
3500.0,0.7464293119460558,0.7476239048743493,0.7472,0.747313501438607,0.024439486741612414,0.024109616438373643,0.02457966639317957,0.023537490926482222
4000.0,0.7922045273877661,0.7962039132925451,0.7928,0.7941631116437519,0.026886356381110647,0.026770302494811844,0.026399999999999986,0.02710628218079352
5000.0,0.7845988934601251,0.7854936162323943,0.7856,0.7852373201495585,0.02780315585720934,0.028033472572723858,0.027199999999999995,0.028111806695728013
7000.0,0.8054206399272916,0.8075746534589406,0.8056000000000001,0.8078674980699407,0.02878526890996083,0.028238712125772975,0.028855502074994273,0.02831068719183124
10000.0,0.8195788647744535,0.8212162101104277,0.8208,0.8210439985522104,0.026827634400703976,0.026289177449085734,0.0270584552404604,0.026346988071124438
20000.0,0.8357167823379523,0.837174387507266,0.8360000000000001,0.8371362379366533,0.03003557697519616,0.029870154839528304,0.029986663702386108,0.029281768043185448
30000.0,0.877066384082085,0.8785384324670119,0.8775999999999999,0.8795734359541448,0.020481637926753272,0.020743833588325038,0.020567936211491923,0.020420398927859584
