Number of Peaks,F1 score,Precision,Accuracy,Recall,F1 score STD,Precision STD,Accuracy STD,Recall STD
5.0,0.9054492203842406,0.9083897317083668,0.9056000000000001,0.9071320776338598,0.027594411465919504,0.027466273778585477,0.02766658634526494,0.026202847681098526
10.0,0.9750685949297608,0.9756256918934387,0.9752000000000001,0.9756585879990041,0.010985138435759812,0.011460581601972247,0.010998181667894026,0.010128142665970483
15.0,0.9863589254985392,0.9868074728297808,0.9864,0.9864520057777764,0.009507598425476034,0.00929932956159486,0.009499473669630342,0.009234578721443494
20.0,0.9951799029560815,0.995154136107198,0.9952000000000002,0.9953078528140841,0.005320151838362641,0.005258438975598158,0.005306599664568645,0.005274399283942847
25.0,0.9983983599205587,0.9984615384615385,0.9984,0.9983606557377049,0.0032032801588826936,0.0030769230769230656,0.0032000000000000028,0.003278688524590168
30.0,0.9967971276512971,0.9967720937418683,0.9968,0.9968730910666395,0.00392270411481838,0.0039555051645249655,0.003919183588453088,0.003831614337667072
35.0,0.996769643869519,0.9970110087045571,0.9968,0.9966069173881674,0.0053797778041379096,0.00481232920265478,0.005306599664568645,0.00582642026261185
40.0,0.9943805493853549,0.9942721445059259,0.9944,0.9946038793953271,0.005135642471341654,0.005066978885063617,0.005122499389946284,0.005099674626338689
45.0,0.9967836594481048,0.9968731645509663,0.9968,0.996745724995445,0.003939277568485149,0.0038441182724242226,0.003919183588453088,0.004001308964581995
50.0,0.9943885819887026,0.9946226790859267,0.9944,0.9942689163555818,0.005128033712778434,0.004963289015262777,0.005122499389946284,0.005170106474447213
60.0,0.9975865093987004,0.9977941176470587,0.9975999999999999,0.9974430157802454,0.005150269447839551,0.0047081795863476664,0.005122499389946284,0.005442502907988963
70.0,0.9951638615956178,0.9956302521008403,0.9952,0.9948265608498159,0.00645039424033624,0.005809725718988599,0.0064000000000000055,0.00689962779537974
80.0,0.9983940269812134,0.9983182589033351,0.9984,0.9984954751131221,0.0032119606504595146,0.0033648179627831097,0.0032000000000000028,0.003010006482142932
90.0,0.9943863117915583,0.9945079335073735,0.9944,0.9943792668608948,0.005130383014250324,0.005100914663330355,0.005122499389946284,0.0050489800564872565
95.0,0.9919538912523219,0.9925089144962405,0.992,0.9916049659716502,0.006251017557222086,0.005664500053994839,0.006196773353931873,0.006671373759047488
100.0,0.9975857270026385,0.9976185845274481,0.9975999999999999,0.9975916434311957,0.003687926468444682,0.0036512147960414553,0.0036660605559646754,0.003695684815605095
