Number of Peaks,F1 score,Precision,Accuracy,Recall,F1 score STD,Precision STD,Accuracy STD,Recall STD
5.0,0.9402134388048193,0.9482850571654418,0.9407999999999997,0.9392101710555737,0.012504154952205642,0.01125464938890158,0.012496399481450607,0.011727390466006385
10.0,0.945396225565393,0.9488774314651576,0.9456,0.94808797248546,0.017076272737157342,0.016824187582103405,0.017083325203250073,0.014521513243168974
15.0,0.979937692674711,0.981263986511063,0.9800000000000001,0.9796280200922094,0.010913530101620609,0.010040232911518595,0.010881176406988364,0.01099506195222183
20.0,0.9830956486820641,0.9841921690906512,0.9831999999999999,0.9827236937982274,0.009122631793078819,0.00867276225138273,0.009086253353280447,0.009156558009380953
25.0,0.9887556712997492,0.9893187678602336,0.9888,0.9885986560482529,0.008939731278390057,0.00834517715013928,0.008908422980528043,0.009183765591705983
30.0,0.9830975421370212,0.9842199440631786,0.9832000000000001,0.982697660351489,0.009110320882253614,0.008116691635812441,0.009086253353280447,0.009487410051228126
35.0,0.9855530601469706,0.9864410109553077,0.9856,0.9853211406299703,0.011242664552042295,0.010277209127945807,0.01120000000000001,0.011619532804339347
40.0,0.9879470462722297,0.9877631751907516,0.9880000000000001,0.9885243007295482,0.007384907693190988,0.00718908417244058,0.007375635565834316,0.0072645452888136786
45.0,0.9895719978779148,0.9895794922880722,0.9896,0.9898564877997558,0.006270494013068142,0.006230801411483347,0.0062481997407253295,0.006064195491743296
50.0,0.9871585453225992,0.9875407789386511,0.9872,0.9872305728934588,0.008165840371090622,0.008113580524522013,0.008158431221748464,0.0077653501754389636
60.0,0.9895160803357628,0.9897484845197123,0.9896,0.9896045572775016,0.007245710959497292,0.006722121391309897,0.007200000000000007,0.007503563420191632
70.0,0.9895839940792073,0.9897587772890193,0.9895999999999999,0.9897980318292818,0.00950177379010112,0.009470295798071343,0.009499473669630342,0.009016631867845955
80.0,0.9895517183092775,0.9898835764687641,0.9896,0.9894879332817655,0.0051241684698232195,0.004893789307138108,0.005122499389946283,0.00524687821702647
90.0,0.986286896921805,0.9869407507704704,0.9864,0.9861624348378915,0.008926458384528027,0.008169469149275682,0.008800000000000007,0.00945636589187934
95.0,0.987186253159764,0.9874261323189796,0.9872,0.9874242541732461,0.008917788951886035,0.008754125346047598,0.008908422980528043,0.008668110769313486
100.0,0.9822237634298219,0.9828890244185375,0.9823999999999998,0.9823029646937324,0.007834219803763292,0.007991033852090162,0.007838367176906176,0.007637187687383415
